ID,Name,Latitude,Longitude,Population
0,Afghanistan,33.93911,67.709953,38928341
1,Albania,41.1533,20.1683,2877800
2,Algeria,28.0339,1.6596,43851043
3,Andorra,42.5063,1.5218,77265
4,Angola,-11.2027,17.8739,32866268
5,Antigua and Barbuda,17.0608,-61.7964,97928
6,Argentina,-38.4161,-63.6167,45195777
7,Armenia,40.0691,45.0382,2963234
8,Australia,,,
8,Australia,,,
8,Austria,47.5162,14.5501,9006400
9,Azerbaijan,40.1431,47.5769,10139175
10,Bahamas,25.025885,-78.035889,393248
11,Bahrain,26.0275,50.55,1701583
12,Bangladesh,23.685,90.3563,164689383
13,Barbados,13.1939,-59.5432,287371
14,Belarus,53.7098,27.9534,9449321
15,Belgium,50.8333,4.469936,11589616
16,Belize,17.1899,-88.4976,397621
17,Benin,9.3077,2.3158,12123198
18,Bhutan,27.5142,90.4336,771612
19,Bolivia,-16.2902,-63.5887,11673029
20,Bosnia and Herzegovina,43.9159,17.6791,3280815
21,Botswana,-22.3285,24.6849,2351625
22,Brazil,-14.235,-51.9253,212559409
23,Brunei,4.5353,114.7277,437483
24,Bulgaria,42.7339,25.4858,6948445
25,Burkina Faso,12.2383,-1.5616,20903278
26,Burma,21.9162,95.956,54409794
27,Burundi,-3.3731,29.9189,11890781
28,Cabo Verde,16.5388,-23.0418,555988
29,Cambodia,11.55,104.9167,16718971
30,Cameroon,3.848,11.5021,26545864
31,Canada,56.1304,-106.3468,35034061
32,Central African Republic,6.6111,20.9394,4829764
33,Chad,15.4542,18.7322,16425859
34,Chile,-35.6751,-71.543,19116209
34,Chile,-35.6751,-71.543,19116209
35,China,,,
35,Colombia,4.5709,-74.2973,50882884
36,Comoros,-11.6455,43.3333,869595
37,Congo (Brazzaville),-0.228,15.8277,5518087
38,Congo (Kinshasa),-4.0383,21.7587,14342000
39,Costa Rica,9.7489,-83.7534,5094114
40,Cote d'Ivoire,7.54,-5.5471,26378275
41,Croatia,45.1,15.2,4105268
42,Cuba,21.521757,-77.781167,11326616
43,Cyprus,35.1264,33.4299,1207361
43,Cyprus,35.1264,33.4299,1207361
44,Czechia,49.8175,15.473,10708982
45,Denmark,56.2639,9.5018,5792202
45,Djibouti,11.8251,42.5903,988002
46,Dominica,15.415,-61.371,71991
47,Dominican Republic,18.7357,-70.1627,10847904
48,Ecuador,-1.8312,-78.1834,17643060
49,Egypt,26.820553,30.802498,102334403
50,El Salvador,13.7942,-88.8965,6486201
51,Equatorial Guinea,1.6508,10.2679,1402985
52,Eritrea,15.1794,39.7823,3546427
53,Estonia,58.5953,25.0136,1326539
54,Eswatini,-26.5225,31.4659,1160164
55,Ethiopia,9.145,40.4897,114963583
55,Ethiopia,9.145,40.4897,114963583
56,Fiji,-17.7134,178.065,896444
57,Finland,61.92411,25.748151,5540718
58,France,46.2276,2.2137,65273512
58,Gabon,-0.8037,11.6094,2225728
59,Gambia,13.4432,-15.3101,2416664
60,Georgia,42.3154,43.3569,3989175
61,Germany,51.165691,10.451526,83783945
62,Ghana,7.9465,-1.0232,31072945
63,Greece,39.0742,21.8243,10423056
64,Grenada,12.1165,-61.679,112519
65,Guatemala,15.7835,-90.2308,17915567
66,Guinea,9.9456,-9.6966,13132792
